id,final_rank,score_conservation,score_coevolution,score_esm,rank_conservation,rank_coevolution,rank_esm,rrf,disagreement,adj_score
A6PE_10096|Thermoanaerobacterium,1,0.5004839937022169,0.8244415925616837,-0.341684092562888,14,26,17,0.038128433477270685,0.07792207792207792,0.03664291009503936
A6PE_00779|Leptotrichia,2,0.5177578530788364,0.802750831194902,-0.34756911974874183,2,33,25,0.03864642631246047,0.2012987012987013,0.03475668859919335
A6PE_00066|Citrobacter,3,0.4918460635280542,0.8488725802400057,-0.3571311658770881,23,21,42,0.03419779335205747,0.13636363636363635,0.0318661256235081
A6PE_10313|uncultured,4,0.49062186001377595,0.7766212651091795,-0.35266104396284564,28,46,30,0.03190870973889842,0.11688311688311688,0.030043915013897866
A6PE_01318|uncultured,5,0.504562115098967,0.8101411255009457,-0.36089984643169576,8,30,52,0.03474556489262372,0.2857142857142857,0.029781912765106045
A6PE_A5351|Pectobacterium,6,0.5028863341445782,0.766592292323704,-0.34973413942321,10,53,28,0.03449890817147454,0.2792207792207792,0.02968250216052192
A6PE_00342|Photobacterium,7,0.49918749963892156,0.7927435720651647,-0.35806883530348804,16,38,46,0.032795938633646105,0.19480519480519481,0.029601529026472784
A6PE_02153|Caloramator,8,0.5060354430677212,0.776057217286517,-0.3598660339527392,6,47,49,0.03367162147064402,0.2792207792207792,0.02897071327831385
A6PE_01984|Escherichia,9,0.4993667253084828,0.7628030217845411,-0.3484552161063814,15,57,26,0.033508248857086066,0.2727272727272727,0.028938942194756147
A6PE_11797|Anaerostipes,10,0.5006414936282757,0.7442724180979368,-0.33856316323413166,13,68,15,0.03484446347031964,0.35714285714285715,0.0286222378506197
A6PE_01870|uncultured,11,0.48208102464956387,0.7747593103107516,-0.3541159745072946,42,48,36,0.029479847494553374,0.07792207792207792,0.028331282007752593
A6PE_08502|Marasmitruncus,12,0.5015086633806105,0.784137874098847,-0.36264200476821773,11,40,55,0.03278015921616657,0.2857142857142857,0.028097279328142773
A6PE_00645|Clostridium,13,0.49375895821201865,0.7508432177744133,-0.33704589035347643,21,67,13,0.033918324897363475,0.35064935064935066,0.02797160559717637
A6PE_10273|Aerococcus,14,0.4634123879273837,0.777885606328018,-0.3254618469729192,64,42,4,0.03349343769765971,0.38961038961038963,0.026968742042271454
A6PE_02444|Brevibacillus,15,0.5041127593115301,0.7397289531403802,-0.35367168415196876,9,71,34,0.032764639281788376,0.4025974025974026,0.026169159945843963
A6PE_09282|Sporolactobacillus,16,0.4778684370998705,0.7778606143527378,-0.36360375733899053,48,43,59,0.027371358467874744,0.1038961038961039,0.025949469716296834
A6PE_04659|Lacticaseibacillus,17,0.46708384565235767,0.7772667724129915,-0.3551854867011947,62,44,38,0.028016187559513087,0.15584415584415584,0.02583310800942116
A6PE_01592|Treponema,18,0.4954031300088244,0.7309886753562802,-0.3472423376464223,19,79,24,0.03175723435717972,0.38961038961038963,0.0255707601317551
A6PE_08307|Entomohabitans,19,0.4815165132346962,0.7531370700684807,-0.3532229326864533,44,66,31,0.028540903540903544,0.22727272727272727,0.02529761904761905
A6PE_03694|Paenibacillus,20,0.5008867012742403,0.729444452281334,-0.35037106191131834,12,82,29,0.03216709746619542,0.45454545454545453,0.024856393496605553
A6PE_12126|Vibrio,21,0.48338236551970426,0.7883084026204118,-0.3687756387252742,39,39,72,0.02777777777777778,0.21428571428571427,0.024801587301587304
A6PE_10204|Raoultella,22,0.49075244285620273,0.821940155218257,-0.37099973172834555,25,28,81,0.03022054082754959,0.36363636363636365,0.024725897040722387
A6PE_00786|Staphylococcus,23,0.45679940093234406,0.7681286570499735,-0.35578842028491525,67,52,39,0.026903597277613024,0.18181818181818182,0.02445781570692093
A6PE_12137|Gemmatimonadetes,24,0.36611452688139867,1.3111748394020912,-0.3250587115767752,107,8,3,0.03656692217805286,0.6753246753246753,0.02421964975429475
A6PE_10563|Aerococcus,25,0.47692125066677166,0.7362102623236564,-0.3577418484680322,49,72,44,0.026365454117747697,0.18181818181818182,0.023968594652497906
A6PE_00089|Avibacterium,26,0.4899654461517373,0.7234531263136978,-0.3420640875666207,30,86,19,0.030618654027705527,0.43506493506493504,0.02395810266453582
A6PE_12106|Klebsiella,27,0.4820661260009077,0.7342975998632738,-0.3534384878949233,43,76,32,0.02793124425793956,0.2857142857142857,0.023941066506805338
A6PE_01904|Aggregatibacter,28,0.47165265253892985,0.7571789961647285,-0.3677513846134146,57,61,67,0.0246854871049574,0.06493506493506493,0.023884010250900343
A6PE_10570|Aureimonas,29,0.3556310218067615,1.3709483091077215,-0.328707384169498,116,5,5,0.036451048951048955,0.7207792207792207,0.023314469621287807
A6PE_02727|Oenococcus,30,0.45147607764192393,0.8210187408849066,-0.36106368536741523,77,29,53,0.027384782651296367,0.3116883116883117,0.0231170243160294
A6PE_00988|unclassified,31,0.5046272457554488,0.7640231352346898,-0.3718733368894761,7,56,83,0.030539069782507762,0.4935064935064935,0.023003455160850002
A6PE_10239|Caproiciproducens,32,0.5184313675831634,0.8020477531683734,-0.3770861785875793,1,34,97,0.0334011672468836,0.6233766233766234,0.022990413819283517
A6PE_12174|Propionispora,33,0.48587690605692085,0.7161425884004106,-0.35357751378550534,34,92,33,0.02796993341280449,0.38311688311688313,0.02261205655775428
A6PE_01119|Lactobacillus,34,0.44422423971190794,0.730300421870078,-0.3204290445892935,84,81,2,0.030165675284069243,0.5324675324675324,0.022134553942206654
A6PE_00736|Bifidobacterium,35,0.45480619926801413,0.7341604014747972,-0.3668851416312401,71,77,66,0.02286936579576018,0.07142857142857142,0.022052602731625886
A6PE_00065|Streptococcus,36,0.46988777298361445,0.7766590511820123,-0.37117466981199587,59,45,82,0.0249694243894741,0.24025974025974026,0.021969850680348964
A6PE_12113|Bifidobacterium,37,0.4554060637938612,0.7557838912951859,-0.37089550317241216,70,62,80,0.023031886146640246,0.11688311688311688,0.02168586682638205
A6PE_01861|Clostridium,38,0.5094371384321756,0.7576241324604674,-0.37703694557006073,4,60,96,0.03036858974358974,0.5974025974025974,0.021297452547452547
A6PE_10251|Klebsiella,39,0.4795411510213756,0.7133272245159752,-0.3540345863013591,46,95,35,0.026411890956850433,0.38961038961038963,0.02126671739382762
A6PE_09299|Pygmaiobacter,40,0.49614058941216915,0.7542817405762416,-0.37308751922409233,18,65,90,0.027487179487179488,0.4675324675324675,0.021061605061605062
A6PE_04356|Rhizobium,41,0.35091316567896913,1.2432809105203795,-0.33815927921798283,123,12,14,0.03286688327671934,0.7207792207792207,0.02102200001790166
A6PE_03088|Brachyspira,42,0.45868291966140956,0.7232844806291211,-0.3679557315741355,65,87,68,0.022615221088435375,0.14285714285714285,0.020999848153547135
A6PE_08452|Murdochiella,43,0.49337032171035394,0.7432433889889712,-0.37289181015525097,22,69,88,0.026703816692472394,0.42857142857142855,0.020981570258371166
